ds;y
2017-10-24;12910
2017-10-25;12934
2017-10-26;8046
2017-10-27;7662
2017-10-28;579
2017-10-29;401
2017-10-30;9340
2017-10-31;9689
2017-11-01;11146
2017-11-02;12443
2017-11-03;7137
2017-11-04;319
2017-11-05;214
2017-11-06;420
2017-11-07;8563
2017-11-08;8882
2017-11-09;8691
2017-11-10;7606
2017-11-11;498
2017-11-12;395
2017-11-13;9401
2017-11-14;9056
2017-11-15;8886
2017-11-16;8456
2017-11-17;7781
2017-11-18;377
2017-11-19;304
2017-11-20;8809
2017-11-21;8702
2017-11-22;8037
2017-11-23;8462
2017-11-24;7746
2017-11-25;356
2017-11-26;324
2017-11-27;9125
2017-11-28;8844
2017-11-29;8979
2017-11-30;8547
2017-12-01;8756
2017-12-02;454
2017-12-03;442
2017-12-04;9943
2017-12-05;10127
2017-12-06;9785
2017-12-07;10097
2017-12-08;9132
2017-12-09;504
2017-12-10;517
2017-12-11;10568
